,appid,average_2weeks,average_forever,developer,median_2weeks,median_forever,name,negative,owners,owners_variance,players_2weeks,players_2weeks_variance,players_forever,players_forever_variance,positive,price,publisher,score_rank,userscore
313080.0,313080,109,299,Shark Punch,195,102,The Masterplan,167,94270,9445,1237,1082,49485,6844,304,1999,Shark Punch,20,65
313630.0,313630,100,317,"Hourences, Grip Games",124,79,The Solus Project,362,123466,10809,2474,1530,102187,9834,1590,1999,Teotl Studios,48,81
314000.0,314000,150,142,Cherry Pop Games,42,11,Pool Nation FX Lite,387,575762,23332,5196,2217,270437,15996,659,0,Cherry Pop Games,19,63
314010.0,314010,35,102,Mokus,35,21,Boid,118,237529,14991,742,1453,132868,11213,503,0,tinyBuild,46,80
314240.0,314240,18,214,Skatanic Studios,18,119,RPG Tycoon,166,34392,5705,742,1027,30928,5410,266,249,GSProductions Ltd.,17,60
314410.0,314410,161,747,Rake in Grass,97,370,Rampage Knights,124,233818,14874,5691,2321,164044,12459,1809,1199,Rake in Grass,85,93
314520.0,314520,238,843,Dovetail Games,180,187,Euro Fishing,448,75465,8451,2722,1605,62599,7697,760,1999,Dovetail Games - Fishing ,18,61
314590.0,314590,30,247,The Paper Robot,30,244,room13,12,24495,4815,742,1453,6928,2560,48,799,Clickteam,46,88
314950.0,314950,0,7,Proscenium,0,7,Spectre,24,13114,3523,0,0,2474,1530,13,499,Proscenium,3,36
315130.0,315130,0,36,Pixelz Games,0,39,CO-OP : Decrypted,27,12619,3456,0,0,2474,1530,25,999,Pixelz Games,8,50
315680.0,315680,0,45,Jujubee S.A.,0,48,Spellcrafter,34,3711,1874,0,0,2227,1451,18,999,Jujubee S.A.,3,31
316080.0,316080,0,289,Polar Bunny Ltd,0,209,Parcel,8,22763,4642,0,0,13361,3556,94,499,Polar Bunny Ltd,81,93
316370.0,316370,0,175,Dreamatrix,0,195,Wave of Darkness,34,12866,3489,0,0,7175,2606,47,2999,Dreamatrix ,14,40
316390.0,316390,312,162,Cybertime System,24,21,sZone-Online,4300,1955412,42937,9897,3060,1167358,33202,2910,0,Cybertime System,4,40
316430.0,316430,196,873,Great War Team,169,242,Battle of Empires : 1914-1918,522,65073,7848,4206,1995,60620,7574,1018,899,Best Way Soft,23,64
316930.0,316930,32,139,Jae Lee Productions,32,47,Kings of Kung Fu,186,18804,4219,745,1030,15835,3871,342,999,Digital Tribe,20,64
317530.0,317530,0,49,The Innocent Devils,0,59,Congo,50,5196,2217,0,0,3217,1744,75,999,,16,56
317730.0,317730,0,166,REEW GAMES,0,201,REVERSE SIDE,52,2227,1451,0,0,1732,1280,37,1399,REEW GAMES,5,40
318090.0,318090,0,148,Fakedice,0,142,DICETINY: The Lord of the Dice,60,7175,2606,0,0,5938,2370,125,0,Fakedice,24,65
318600.0,318600,177,259,The Molasses Flood,70,94,The Flame in the Flood,489,383264,19040,4701,2109,178147,12984,1561,1499,"The Molasses Flood, Curve Digital",38,77
318860.0,318860,0,250,Jochen Mistiaen,0,194,Malebolgia,36,19299,4274,0,0,8907,2903,68,1299,Jochen Mistiaen,22,65
318970.0,318970,0,748,Juggernaut Games,0,349,StarCrawlers,43,21526,4514,0,0,18804,4219,345,1999,Juggernaut Games,67,88
319050.0,319050,59,447,Snapshot Games Inc.,84,123,Chaos Reborn,184,84125,8923,1117,1262,60867,7590,671,999,Snapshot Games Inc.,42,75
319470.0,319470,1,115,Disparity Games,1,81,Ninja Pizza Girl,33,137074,11389,742,1027,27464,5098,169,699,Disparity Games,53,89
319830.0,319830,1,181,Alex Piola,1,189,AX:EL - Air XenoDawn,56,96249,9544,1117,1262,67547,7996,94,129,KISS ltd,18,57
319910.0,319910,123,261,Frozenbyte,122,173,Trine 3: The Artifacts of Power,1488,588875,23596,6681,2514,288994,16535,3023,2199,Frozenbyte,24,68
320340.0,320340,0,429,Chasing Carrots,0,201,Cosmonautica,429,96991,9581,0,0,56166,7291,468,999,Chasing Carrots,10,52
320540.0,320540,3,170,Milky Tea Studios,3,164,Coffin Dodgers,134,61362,7621,742,1453,45279,6546,337,1099,Milky Tea Studios,29,74
321060.0,321060,117,1088,Transcendent Games,117,341,Gender Bender DNA Twister Extreme,48,9897,3060,738,1444,8660,2863,116,1999,Transcendent Games,28,75
321260.0,321260,100,187,Mad Ram Software,144,119,Wickland,348,109857,10196,1856,1624,69527,8112,440,49,Mad Ram Software,12,54
321270.0,321270,18,590,BlueEagle Productions,24,175,UNLOVED,105,20536,4409,1237,1082,18310,4163,408,999,Paul Schneider,44,79
321330.0,321330,0,45,James Mearman,0,12,ENYO Arcade,11,3464,1810,0,0,2589,1915,35,499,www.dev-zoo.net,38,64
321350.0,321350,0,326,Sub Orbital Software,0,530,Fairspace,8,1494,2069,0,0,1494,2069,16,899,Sub Orbital Software,23,64
321360.0,321360,247,2312,"Circle Five Studios, Pub Games",123,192,Primal Carnage: Extinction,934,268705,15944,10887,3210,146724,11783,2539,1299,Circle Five Studios,33,74
322110.0,322110,155,603,"Batterystaple Games, Fire Hose Games",162,215,20XX,115,90311,9245,8413,2822,82640,8844,1881,1499,Batterystaple Games,89,94
322330.0,322330,410,1580,Klei Entertainment,160,525,Don't Starve Together,2579,6991779,80766,533204,22454,5648501,72696,75947,1499,Klei Entertainment,95,96
322540.0,322540,0,196,Crispon Games,0,212,Galactic Inheritors,36,25485,4911,0,0,12866,3489,33,1999,"Plug In Digital, Argonauts Interactive",7,36
322750.0,322750,105,1710,Alkemi,182,263,Drifting Lands,30,6186,2419,1494,2069,5691,2321,169,1899,Alkemi,56,83
322910.0,322910,195,268,Hammerfall Publishing,195,122,"Warhammer 40,000: Regicide",396,130889,11129,742,838,100703,9762,1100,1499,Hammerfall Publishing,33,72
322920.0,322920,98,1261,"Expansive Worlds, Avalanche Studios",111,173,theHunter: Primal,1493,179632,13037,2474,1530,138311,11441,2212,999,"Expansive Worlds, Avalanche Studios",15,61
323380.0,323380,102,310,Question,119,174,The Magic Circle,68,129404,11066,1237,1082,58393,7434,917,1999,Question,85,91
323670.0,323670,8,51,One Legged Seagull,11,43,Super Indie Karts,18,5691,2321,2226,2517,4949,2164,119,999,One Legged Seagull,61,86
323850.0,323850,58,272,Those Awesome Guys,24,133,Move or Die,794,628463,24375,34640,5726,527019,22324,5841,1499,Those Awesome Guys,67,87
323900.0,323900,0,148,ISOTX,0,27,March of War: FaceOff - M,106,117280,10535,0,0,59382,7497,346,0,ISOTX,38,70
324080.0,324080,191,928,JIW-Games,52,258,Rising World,482,140538,11532,5443,2270,133363,11234,1958,1499,KISS ltd,46,79
324270.0,324270,0,102,Polygon Art,0,93,Revenge: Rhobar's myth,4,2979,2061,0,0,1862,1629,1,499,Polygon Art,1,33
324390.0,324390,0,184,TheShortAndTheTall,0,192,The Body Changer,10,8413,2822,0,0,4701,2109,40,1999,TheShortAndTheTall,46,66
324810.0,324810,495,114,Reakktor Studios,21,22,TOXIKK,1020,763311,26860,9897,3060,467636,21030,3311,0,Reakktor Studios,38,76
325630.0,325630,0,176,"Case in Point Studios, LLC",0,120,Arms Dealer,100,11876,3353,0,0,9155,2943,94,599,"Case in Point Studios, LLC",8,47
325730.0,325730,0,268,Skydome Entertainment,0,169,The Hive,49,17567,4077,0,0,12619,3456,129,799,Skydome Entertainment,31,68
325790.0,325790,0,212,Red Katana,0,97,Fallen: A2P Protocol,117,21774,4539,0,0,15588,3841,79,999,Red Katana,4,34
326060.0,326060,0,0,Dharker Studio,0,0,Starlight Drifter,8,1237,1082,0,0,0,0,7,1299,Dharker Studio,7,50
326410.0,326410,204,625,Tasharen Entertainment Inc.,131,210,Windward,460,384501,19071,3959,1935,256086,15566,1995,999,Tasharen Entertainment Inc.,48,80
326520.0,326520,139,252,"Ste Curran, Twistplay",139,308,Chime Sharp,6,8413,2822,745,1030,4949,2164,56,999,Chilled Mouse,74,80
326840.0,326840,0,304,AHEARTFULOFGAMES,0,162,Heart&Slash,53,16825,3990,0,0,11876,3353,262,374,Badland Games,53,82
327500.0,327500,0,35,bitHuffel,0,28,Zenzizenzic,6,8660,2863,0,0,4949,2164,67,999,Adult Swim Games,77,88
327680.0,327680,271,278,Odnako Games,278,240,Grind Zones,641,327593,17604,5196,2217,238272,15015,548,49,KishMish Games,7,47
327890.0,327890,62,171,Bossa Studios,23,70,I am Bread,1059,608422,23984,9402,2983,473327,21157,3867,1299,Bossa Studios,42,79
328070.0,328070,53,901,Turbo Pixel Studios,76,133,Reflex Arena,181,48001,6740,1237,1082,43300,6402,1152,499,Turbo Pixel Studios,61,86
328220.0,328220,0,448,Quickfire Games,0,405,Wild Season,179,10392,3136,0,0,4949,2164,149,1699,Quickfire Games,6,34
328760.0,328760,106,355,Black Shell Games,168,224,SanctuaryRPG: Black Edition,84,155136,12116,1114,1258,85115,8975,1095,799,Black Shell Media,81,93
328940.0,328940,10,252,"Crescent Moon Games, Cinopt Studios",10,299,The Deer God,145,57650,7387,738,1444,39836,6140,273,1499,Crescent Moon Games,22,58
329040.0,329040,0,232,Hydro Games,0,310,Dungeon Kingdom: Sign of the Moon,10,2474,1530,0,0,2227,1451,68,1899,Hydro Games,64,81
329460.0,329460,156,58,TreeFortress Games,156,18,JumpJet Rex,33,204622,13915,740,1023,36372,5867,355,999,TreeFortress Games,77,96
330100.0,330100,0,455,Mirko Seithe,0,226,BossConstructor,36,11876,3353,0,0,10639,3173,132,749,Mirko Seithe,42,76
330270.0,330270,0,185,Frozen District,0,133,Warlocks vs Shadows,95,33155,5602,0,0,24248,4790,175,1399,ONE MORE LEVEL,20,64
330450.0,330450,0,177,LuGus Studios,0,172,Runes of Brennos,7,12371,3422,0,0,6681,2514,21,499,LuGus Studios,36,80
330770.0,330770,0,85,Tammeka Games,0,72,Radial-G : Racing Revolved,23,7670,2694,0,0,7175,2606,103,1999,Tammeka Games,48,80
331200.0,331200,78,216,Daniel Davies,78,64,Grass Simulator,358,21526,4514,745,1030,18310,4163,397,499,Daniel Davies,10,61
331500.0,331500,48,420,Hesketh Studios,55,196,Executive Assault,149,45032,6528,1237,1082,39836,6140,1039,1299,Hesketh Studios,64,87
331720.0,331720,315,217,Endless Loop Studios,370,243,Survivor Squad: Gauntlets,28,25238,4887,1489,1457,14598,3717,117,499,Endless Loop Studios,46,68
331790.0,331790,239,220,New Reality Games,253,210,Data Hacker: Reboot,56,283798,16386,14103,3653,213777,14222,78,499,New Reality Games,14,59
332250.0,332250,0,85,Aurelien Regard,0,38,The Next Penelope,37,34145,5685,0,0,11629,3317,150,1299,Plug In Digital,46,81
332310.0,332310,306,960,"TT Games, Traveller's Tales",69,230,LEGO Worlds,2374,627969,24366,26722,5029,603226,23881,8650,2999,Warner Bros. Interactive Entertainment,42,78
332540.0,332540,0,167,Furiously Inactive Games,0,205,We Slay Monsters,1,2969,1676,0,0,2227,1451,49,1399,Furiously Inactive Games,99,100
333640.0,333640,117,1310,Freehold Games,107,243,Caves of Qud,21,43300,6402,2969,1676,39588,6121,939,999,Freehold Games,97,97
334040.0,334040,77,94,Gadget Games,120,34,Down To One,1344,110847,10242,2968,2906,83878,8910,871,99,Gadget Games,4,37
335430.0,335430,45,145,Omniconnection,16,75,Grimoire: Manastorm,294,280582,16293,8907,2903,153404,12048,674,0,Omniconnection,26,69
335700.0,335700,25,160,Krealit,25,130,I am Weapon: Revival,56,22268,4591,742,1027,14351,3685,114,1599,Krealit,24,59
335830.0,335830,98,288,Blazing Griffin Ltd.,98,157,Distant Star: Revenant Fleet,92,21526,4514,745,1030,15588,3841,157,999,Blazing Griffin Ltd.,19,59
336160.0,336160,0,0,QuadraTron Games,0,0,Monsters!,0,1494,2069,0,0,0,0,5,499,QuadraTron Games,100,100
336300.0,336300,1,559,Sergio & Simon,1,282,Hearthlands,38,23011,4667,742,1027,17072,4020,234,1999,Sergio & Simon,61,85
336790.0,336790,0,123,Ankama Canada,0,62,KWAAN,62,34640,5726,0,0,7423,2650,108,999,Ankama Games,19,61
337280.0,337280,0,191,John Lawrence,0,62,Planetship,15,8907,2903,0,0,3711,1874,46,899,John Lawrence,36,73
337820.0,337820,350,252,Squatting Penguins,350,184,The Mims Beginning,38,10639,3173,738,1444,8907,2903,141,339,Squatting Penguins,42,62
338040.0,338040,0,1130,Arran Langmead,0,2249,Bears Can't Drift!?,16,2227,1451,0,0,1732,1280,44,999,Strangely Named Studio,33,65
338170.0,338170,62,257,Lino Slahuschek,89,139,Ratz Instagib,310,93280,9396,2722,1605,70022,8141,1824,89,Rising Star Games,58,87
338530.0,338530,221,222,Charyb Games,250,210,Trouble In The Manor,104,279345,16257,6928,2560,245942,15254,166,99,Charyb Games,17,63
338810.0,338810,59,154,Noble Master LLC,89,15,Demise of Nations,49,144002,11674,1979,1368,66558,7937,180,0,Noble Master LLC,42,78
339280.0,339280,181,555,S2 Games,60,80,Strife,1098,1597386,38822,5443,2270,850652,28352,3528,0,S2 Games,38,76
339590.0,339590,12,225,Wither Studios,12,195,Crowman & Wolfboy,3,18062,4135,747,1463,11629,3317,35,399,"Wither Studios, LLC",81,100
339860.0,339860,0,237,NSE Circuit,0,238,AoF World Online,26,14351,3685,0,0,8413,2822,6,499,NSE Circuit,0,14
340030.0,340030,223,213,Defroids team,223,231,Dungeon of gain,36,5938,2370,747,1463,3464,1810,6,499,Defroids team,0,5
340360.0,340360,493,314,Jake Huhman,493,205,Tomb of Tyrants,24,19794,4328,738,1444,13114,3523,186,799,Jake Huhman,67,85
340490.0,340490,25,396,Pixellore,25,137,Subterrain,77,33897,5664,738,1444,28701,5212,509,679,Pixellore,61,86
340580.0,340580,77,206,Sun-Studios,77,130,Armed with Wings: Rearmed,22,26475,5006,742,838,17567,4077,232,999,Sun-Studios,77,92
340730.0,340730,398,710,Love in Space,398,340,Sunrider Academy,105,65321,7863,745,1030,50228,6895,677,999,Sekai Project,61,86
340770.0,340770,4,184,Terminal Press,4,180,Death Goat,59,41073,6235,747,1463,25238,4887,222,98,Terminal Press,44,85
340860.0,340860,31,234,Rectangle,31,318,RaidersSphere4th,10,3217,1744,742,1453,1732,1280,47,1999,Sekai Project,51,83
341000.0,341000,223,1066,Eggcode,87,469,Mad Games Tycoon,263,170229,12692,15093,3779,126682,10949,2655,1499,Eggcode,74,90
341540.0,341540,0,24,Axel Shokk,0,6,TRIP Steam Edition,61,40578,6197,0,0,6433,2467,31,199,Axel Shokk,2,47
341980.0,341980,69,118,CivilSavages,69,88,Dispatcher,285,39588,6121,742,838,27464,5098,410,499,CivilSavages,14,50
342020.0,342020,201,192,Major Games,201,171,BiT Evolution,46,65073,7848,738,1444,23258,4692,75,999,Major Games,17,72
342150.0,342150,15,57,Lightbulb Crew,16,16,Games of Glory,247,326108,17564,990,967,131631,11161,325,0,Lightbulb Crew,13,56
342260.0,342260,55,256,Flying Mollusk,55,160,Nevermind,64,30681,5389,745,1030,15340,3810,205,1999,Flying Mollusk,38,71
342280.0,342280,1,533,Manyland,1,364,Manyland,16,8165,2780,738,1444,5196,2217,101,1199,Manyland,61,81
342350.0,342350,109,155,earrgames,109,153,Into The Gloom,27,11134,3246,740,1023,8907,2903,115,299,Flying Interactive,46,79
342480.0,342480,46,76,Blowfish Studios,60,15,Gunscape,333,396377,19363,2227,1451,243963,15193,745,0,Blowfish Studios,26,69
342550.0,342550,0,94,Eyemobi Ltd.,0,47,Phantasmal: Survival Horror Roguelike,68,6433,2467,0,0,5443,2270,117,1499,Eyemobi Ltd.,19,45
342970.0,342970,1,213,"Sachonski, Renamilanesi, Sith",1,181,Pixel Survivors,74,25732,4935,738,1444,21031,4461,155,59,Patagoniart,24,62
343280.0,343280,242,272,ZeroBit Games,256,258,Zotrix,54,33650,5643,3217,1744,21279,4488,108,1299,Ocean Media LLC,23,33
343360.0,343360,286,314,Microblast Games,358,327,Particula,570,647763,24746,7175,2606,441656,20438,1223,99,Microblast Games,25,65
343630.0,343630,0,75,MAGICS,0,14,CroNix,237,298644,16809,0,0,137569,11410,204,0,MAGICS,7,46
344240.0,344240,10,483,Evil Twin Artworks,10,244,Man O' War: Corsair - Warhammer Naval Battles,136,20042,4355,747,1463,17567,4077,321,2999,Evil Twin Artworks,28,68
344740.0,344740,239,318,Alientrap,251,118,CRYPTARK,63,48990,6809,2227,1451,27959,5144,485,1499,Alientrap,67,87
344760.0,344760,263,2386,Code}{atch,59,705,Reign Of Kings,5229,530977,22407,8660,2863,505245,21858,7610,1999,Code}{atch,15,59
345010.0,345010,0,1778,Fluffy Kitten Studios,0,260,Ascent - The Space Game,84,22021,4565,0,0,9402,2983,215,1999,Fluffy Kitten Studios,29,72
345030.0,345030,0,180,Robert Dahlenburg,0,350,3d Engineers,13,1114,1258,0,0,1114,1258,9,1199,Dahlenburg,4,29
345140.0,345140,2,34,Psytec Games Ltd,2,31,Crystal Rift,41,6681,2514,738,1444,3711,1874,64,249,Psytec Games Ltd,16,59
345180.0,345180,127,623,Haemimont Games,76,275,Victor Vran ARPG,431,601989,23857,8660,2863,355552,18339,3622,1999,EuroVideo Medien,70,89
346110.0,346110,1132,8311,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",336,1098,ARK: Survival Evolved,56927,5542107,72016,505987,21874,5307547,70493,114493,5999,Studio Wildcard,23,68
346220.0,346220,7,1543,Imigea Ltd,7,518,Lif,66,3217,1744,747,1463,3217,1744,79,0,Gamevial,11,54
346370.0,346370,0,26,Small Town Studios,0,6,Into The War,396,43794,6438,0,0,13608,3589,128,0,Small Town Studios,1,25
346460.0,346460,1,93,Red River Studio LLC,1,101,Vector 36,30,5938,2370,747,1463,4949,2164,129,2499,NA,48,79
346610.0,346610,1,102,Vae Victis Games,1,22,Racecraft,19,27712,5121,742,1453,5196,2217,48,1999,Vae Victis Games,29,76
347160.0,347160,71,277,Pixelnest Studio,137,106,Steredenn,65,119260,10624,1485,1453,50228,6895,477,1299,Plug In Digital,67,88
348030.0,348030,75,1008,Arctic Hazard Game Studio a/s,75,680,Trackday Manager,119,5691,2321,742,1453,5443,2270,185,1199,Arctic Hazard Game Studio a/s,16,59
348160.0,348160,0,240,Dedication Labs,0,338,RUMP! - It's a Jump and Rump!,2,1485,1185,0,0,1485,1185,44,669,Dedication Labs,92,95
348460.0,348460,0,35,Shield Break Studios,0,13,Bierzerkers,302,216003,14296,0,0,101197,9786,263,499,Shield Break Studios,7,71
348490.0,348490,20,582,Praxia Entertainment Inc,20,405,Beyond Sol,25,9155,2943,747,1463,8660,2863,117,999,Praxia Entertainment Inc,51,81
348670.0,348670,214,248,vidiludi games and entertainment,250,74,Immune - True Survival,552,166271,12543,6186,2419,126930,10960,820,99,vidiludi games and entertainment,15,60
348980.0,348980,0,160,Narrow Monolith,0,181,INIT.,15,1979,1368,0,0,990,967,3,199,Narrow Monolith,0,21
349220.0,349220,38,462,Alice & Smith,71,153,The Black Watchmen,34,37609,5966,1979,1368,23011,4667,369,999,Alice & Smith,77,90
349460.0,349460,0,236,Craze Creative Studios,0,252,Lord of the Dark Castle,6,6681,2514,0,0,3464,1810,10,399,Craze Creative Studios,18,37
349580.0,349580,0,281,Nacho Games,0,318,Burstfire,493,66310,7922,0,0,46516,6635,385,0,Nacho Games,5,42
350210.0,350210,0,140,WayForward,0,202,Mighty Switch Force! Academy,7,3464,1810,0,0,1979,1368,35,999,WayForward,53,85
350600.0,350600,0,95,PIXYUL,0,49,BIOS,49,6186,2419,0,0,5443,2270,127,1499,PIXYUL,31,70
350740.0,350740,114,178,Awfully Nice Studios,144,110,The Bug Butcher,67,66558,7937,1979,1368,45279,6546,844,799,Awfully Nice Studios,81,89
351230.0,351230,0,276,Abnormal Software,0,183,Counter Spell,12,5443,2270,0,0,3959,1935,106,999,Abnormal Software,70,92
351720.0,351720,0,353,ZeroBit Games,0,315,Zotrix - Solar Division,5,8907,2903,0,0,7423,2650,26,1499,Ocean Media LLC,53,69
351730.0,351730,0,127,"Chad Close, Kyle Weik",0,35,On My Own,46,19052,4246,0,0,7670,2694,72,499,"Close Studios, Beach Interactive",17,68
351910.0,351910,561,311,Funatics Software,561,117,Valhalla Hills,310,165776,12525,742,838,86104,9027,363,1999,Daedalic Entertainment,11,60
351990.0,351990,23,408,FOAM Entertainment,39,212,Riff Racer - Race Your Music!,136,45774,6582,1485,1185,34145,5685,881,999,FOAM Entertainment,61,87
352370.0,352370,0,332,Three Phase Interactive Pty Ltd,0,356,Defect,12,3711,1874,0,0,2227,1451,38,1499,Three Phase Interactive Pty Ltd,38,68
352460.0,352460,2,392,Section Studios,3,114,Dead Realm,1453,237777,14999,1484,2055,218230,14370,3100,1499,3BLACKDOT,25,68
352950.0,352950,118,149,Odin Game Studio,218,43,Better Late Than DEAD,511,44042,6456,1494,2069,23506,4717,248,1499,Excalibur Games,2,34
353580.0,353580,2,83,Interceptor Entertainment,2,75,Rad Rodgers: World One,14,9155,2943,747,1463,5196,2217,117,599,"3D Realms, THQ Nordic",70,89
353630.0,353630,118,387,Crafty Studios,118,185,Oil Enterprise,59,13361,3556,742,1027,12124,3387,74,599,astragon Entertainment GmbH,12,46
353640.0,353640,111,482,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy",40,163,Train Valley,114,182106,13127,4949,2164,107383,10081,1081,999,Flazm,74,90
354030.0,354030,0,317,Fun Infused Games,0,326,VolChaos,7,13114,3523,0,0,6928,2560,27,299,Fun Infused Games,44,80
354230.0,354230,0,329,Nerial,0,555,Devouring Stars,7,1979,1368,0,0,1979,1368,24,999,BulkyPix,40,70
354400.0,354400,15,103,BitFinity,15,121,Tadpole Treble,8,8413,2822,742,1453,6186,2419,183,499,"BitFinity, Sunken Treasure Games",92,95
354770.0,354770,0,327,Aaron Arcand,0,327,Trigger Saint,2,3217,1744,0,0,742,1027,18,699,Undergroundies,74,83
354860.0,354860,7,347,"NinjaISV, TigerNDV",10,359,The Adventures of Tree,77,98228,9642,1489,1457,74475,8396,260,274,OfficialTigerStudios,40,79
355010.0,355010,0,268,Iceflake Studios,0,300,Race Arcade,8,3464,1810,0,0,1732,1280,40,1199,Iceflake Studios,53,74
355180.0,355180,68,123,Hoobalugalar_X,26,33,Codename CURE,2011,2443585,47974,100950,9774,1683490,39851,9273,0,Hoobalugalar_X,51,82
355980.0,355980,277,819,Valsar,303,316,Dungeon Warfare,15,38599,6044,2722,1605,32165,5517,605,999,Valsar,97,97
356040.0,356040,225,818,"Unicube, Team 17 Digital Ltd",136,274,Sheltered,651,331057,17697,9897,3060,247674,15308,2438,1499,Team17 Digital Ltd,42,79
356070.0,356070,0,263,Orlyapps,0,266,Commander Cool 2,115,8907,2903,0,0,6433,2467,934,89,Orlyapps,70,65
356180.0,356180,57,45,Minority Media Inc.,57,46,Time Machine VR,36,7423,2650,742,838,5691,2321,65,2999,Minority Media Inc.,20,64
356670.0,356670,34,96,Lag Studios,24,30,Spooky's Jump Scare Mansion,633,1275236,34699,13608,3589,920427,29490,8144,0,Lag Studios,81,92
356790.0,356790,0,233,Puny Human,0,240,Galacide,7,20289,4382,0,0,11629,3317,52,699,Puny Human,67,73
356870.0,356870,0,0,CRACKED PISTON LLC 2014,0,0,Devoured Time,3,2227,1451,0,0,0,0,2,399,CRACKED PISTON LLC 2014,,0
357070.0,357070,37,122,Walter Machado,41,80,UBERMOSH,141,133115,11224,2227,1451,94517,9458,1504,49,Walter Machado,77,91
357310.0,357310,334,941,Shining Pixel Studios,422,274,Oriental Empires,185,44289,6474,3959,1935,40825,6216,779,2999,Iceberg Interactive,46,80
357650.0,357650,0,140,Sebastian Nigro,0,125,Project Explore,52,14351,3685,0,0,11876,3353,184,499,Sebastian Nigro,40,74
357670.0,357670,4,118,The Stork Burnt Down,4,88,Home Improvisation: Furniture Sandbox,46,15588,3841,738,1444,14351,3685,120,999,The Stork Burnt Down,31,70
357890.0,357890,0,277,KaleidoGames,0,454,Vortex Attack: ,4,3959,1935,0,0,2227,1451,44,699,"KaleidoGames, Indie Tribe",77,92
358130.0,358130,119,606,Maschinen-Mensch,78,242,The Curious Expedition,140,120744,10690,5443,2270,94270,9445,1235,1499,Maschinen-Mensch,70,89
359140.0,359140,123,188,Anarchy Enterprises,123,175,Kick Ass Commandos,13,19547,4301,745,1030,11134,3246,333,999,Anarchy Enterprises,95,93
359840.0,359840,199,273,Klonk Games,233,269,Shift Happens,6,12124,3387,1979,1368,10639,3173,161,1499,"Klonk Games, Deck13, FFF Bayern",95,97
359940.0,359940,8,139,Andrii Vintsevych,8,111,Shadows Peak,44,6186,2419,742,1453,4454,2053,113,439,Andrii Vintsevych,29,67
360170.0,360170,186,697,Eko Software,66,248,How to Survive 2,1948,610401,24023,19299,4274,476544,21229,5018,1499,505 Games,31,71
360390.0,360390,123,156,OMNIDREAM CREATIONS,123,188,Nightside,32,30186,5345,747,1463,18804,4219,49,999,OMNIDREAM CREATIONS,16,55
360510.0,360510,16,163,Fugitive Games,16,85,Into the Stars,235,23753,4741,738,1444,19052,4246,196,1999,Iceberg Interactive,6,40
360590.0,360590,0,228,Gamestarters,0,177,"Once Bitten, Twice Dead!",95,24000,4766,0,0,14598,3717,16,499,"Gamestarters Publisher, Gamestarter's",0,13
360620.0,360620,0,143,Frogsong Studios AB,0,148,Spellsworn,19,15588,3841,0,0,9650,3022,119,999,Frogsong Studios AB,61,83
360730.0,360730,587,280,Red Team Games,587,62,Cards and Castles,181,130889,11129,745,1030,68290,8039,427,0,Red Team Games,28,70
360880.0,360880,1,249,"Zeenoh, 7 Seals",1,237,Nightfall: Escape,20,14846,3748,738,1444,5691,2321,20,999,Zeenoh Inc.,9,44
361040.0,361040,119,835,Heartbit Interactive,119,713,Doom & Destiny Advanced,9,7423,2650,747,1463,4454,2053,187,999,Heartbit Interactive,92,94
361280.0,361280,148,540,Gamious,106,298,Turmoil,235,342933,18011,11134,3246,280582,16293,2063,999,Gamious,70,89
361350.0,361350,0,123,Megastorm Games,0,156,Skyhook,6,2722,1605,0,0,2234,1785,59,499,Megastorm Games,74,86
361800.0,361800,514,2389,oddonegames,449,587,Tree of Life,1814,124208,10842,3959,1935,120497,10679,4365,1999,"oddonegames, neobricks",28,69
362350.0,362350,2,232,Plain Concepts Corp,2,98,Boss Monster,102,20289,4382,738,1444,17320,4049,176,149,Plain Concepts Corp,19,59
362400.0,362400,0,91,Thomas Bacon,0,5,Regimental Chess,58,101445,9798,0,0,31918,5496,52,0,Regimental Chess Inc.,7,47
363020.0,363020,209,16762,Piranha Bytes Distribution UG&Co KG,209,31812,IPackThat,16,1114,1258,738,1444,1114,1258,16,6499,Piranha Bytes Distribution UG&Co KG,9,48
363270.0,363270,1,194,Egamea Game Studios,1,208,O3DX,22,9650,3022,738,1444,7175,2606,38,399,Egamea Game Studios,19,77
363420.0,363420,71,458,Clever-Plays,79,162,Leap of Fate,18,20042,4355,1237,1082,12866,3489,254,1599,Clever-Plays,85,92
363530.0,363530,0,289,Gabriel Interactive,0,277,Robot Arena III,172,2722,1605,0,0,2722,1605,76,499,Octopus Tree,2,31
363930.0,363930,208,438,Silent Dreams,264,221,Dead Age,386,190024,13409,4454,2053,94270,9445,1965,1499,Headup Games,53,85
364050.0,364050,85,227,"Tlön Studios, Ilex Games",135,220,Face It - A game to fight inner demons,226,81403,8777,1485,1185,54929,7210,902,399,Gamestorming,44,61
364300.0,364300,345,1207,Red Beat,371,361,Space Rogue,79,12371,3422,1114,1258,11134,3246,191,999,Red Beat,28,66
364420.0,364420,157,986,SmashGames,84,314,Roguelands,487,250891,15407,5691,2321,202642,13847,2274,999,SmashGames,51,82
364710.0,364710,0,2,Carlotta Tatti,0,3,Wonky Pigeon!,74,12124,3387,0,0,1979,1368,17,499,Carlotta Tatti,0,15
