"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"310","Emporea: Realms of War and Magic","Jun 8, 2016","Free","17% (61%)","171,157 ±12,139","103,820 ±9,455","13:53 (00:23)","Pixel Federation","Pixel Federation"
"221","Train Valley","Sep 16, 2015","$9.99","71% (89%/69%)","169,806 ±12,091","97,289 ±9,153","08:38 (02:14)","Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy","Flazm"
"883","LuckCatchers","Nov 15, 2016","Free","10% (52%)","169,581 ±12,083","92,785 ±8,938","18:33 (00:11)","DiP Online","DiP Online"
"722","Valhalla Hills","Dec 2, 2015","$19.99","16% (60%/69%)","168,230 ±12,035","83,327 ±8,470","03:59 (01:40)","Funatics Software","Daedalic Entertainment"
"126","Vindictive Drive","May 15, 2017","$2.99","N/A (N/A)","166,653 ±11,978","150,213 ±11,372","03:28 (03:30)","Balthasar02","Sometimes You"
"118","EVERSPACE","May 25, 2017","$29.99","51% (82%/79%)","166,203 ±11,962","153,141 ±11,482","09:39 (03:03)","ROCKFISH Games","ROCKFISH Games"
"196","RollerCoaster Tycoon World","Nov 16, 2016","$14.99","1% (27%/43%)","161,023 ±11,774","152,690 ±11,466","11:24 (04:12)","Nvizzio Creations","Atari, RCTO Productions"
"278","SanctuaryRPG: Black Edition","Feb 13, 2015","$7.99","86% (93%)","161,023 ±11,774","85,353 ±8,573","06:16 (03:06)","Black Shell Games","Black Shell Media"
"114","Secrets of Grindea","Jul 13, 2015","$14.99","89% (94%)","159,672 ±11,725","154,717 ±11,541","14:41 (08:52)","Pixel Ferrets","Pixel Ferrets"
"58","Desolate Wastes: Vendor Chronicles","Jul 21, 2017","$1.99","N/A (N/A)","158,996 ±11,700","125,215 ±10,383","03:40 (03:30)","Rotatipyra","New Reality Games"
"134","Eon Altar","Jun 22, 2016","$4.99","82% (92%)","157,195 ±11,633","53,599 ±6,794","03:53 (02:18)","Flying Helmet Games","Flying Helmet Games"
"386","Storm Of Spears RPG","Jun 17, 2016","$1.99","32% (72%)","156,519 ±11,608","87,831 ±8,696","03:19 (03:08)","Warfare Studios","Red Dahlia"
"88","Tribal Pass","Aug 26, 2016","$1.99","49% (81%)","153,591 ±11,499","130,170 ±10,587","03:56 (04:00)","Tribe Tea, Stas Shostak, Evgeniy Yudin, Alexzander Protasenya, Ruslan Viter","Stas Shostak"
"147","Eastside Hockey Manager","Dec 1, 2015","$19.99","59% (85%)","153,591 ±11,499","50,446 ±6,591","121:47 (13:40)","Sports Interactive","SEGA"
"165","Daily Chthonicle: Editor's Edition","Sep 30, 2016","$3.99","N/A (N/A)","152,465 ±11,457","134,899 ±10,777","03:36 (03:30)","Sinister Systems","Sometimes You"
"81","Offroad: VR","Dec 30, 2016","$1.99","N/A (N/A)","152,240 ±11,449","143,006 ±11,096","03:32 (03:30)","bcInteractive","bcInteractive"
"92","Rivals of Aether","Mar 28, 2017","$14.99","74% (90%)","150,664 ±11,389","144,133 ±11,140","14:58 (04:59)","Dan Fornace","Dan Fornace"
"164","NUKED KNIGHT","Oct 19, 2016","$4.99","N/A (N/A)","149,312 ±11,338","110,351 ±9,748","03:18 (03:30)","Nuked Games","Siberian Digital"
"105","Thea: The Awakening","Nov 20, 2015","$19.99","74% (90%/73%)","149,087 ±11,330","133,097 ±10,705","30:07 (09:07)","MuHa Games","MuHa Games"
"169","Epistory - Typing Chronicles","Mar 30, 2016","$6.74","95% (96%/74%)","147,961 ±11,287","66,887 ±7,589","03:48 (02:26)","Fishing Cactus","Fishing Cactus, Plug In Digital"
"130","Torment: Tides of Numenera","Feb 27, 2017","$44.99","26% (68%/81%)","145,934 ±11,209","114,630 ±9,935","15:10 (06:21)","inXile Entertainment","inXile Entertainment"
"48","Dungeon Souls","Dec 2, 2016","$12.99","51% (82%/67%)","145,709 ±11,200","77,246 ±8,156","08:07 (02:30)","Lamina Studios, Mike Studios","Black Shell Media"
"163","Physic Monster","Oct 19, 2016","$1.99","N/A (N/A)","145,484 ±11,192","112,153 ±9,827","04:21 (04:00)","MegawattsCo","Dagestan Technology"
"391","CLASH","Nov 15, 2016","Free","3% (37%)","143,006 ±11,096","73,418 ±7,951","02:12 (02:38)","Ultima Games","New Reality Games"
"144","Ace Of Words","May 13, 2016","$4.99","N/A (N/A)","138,502 ±10,920","104,721 ±9,496","05:35 (05:35)","ZeroBit Games","Ocean Media LLC"
"204","Immune - True Survival","Mar 25, 2015","$0.99","16% (60%)","136,475 ±10,840","108,099 ±9,648","04:21 (00:52)","vidiludi games and entertainment","vidiludi games and entertainment"
"660","Fantasy Tales Online","May 5, 2016","Free","35% (74%)","136,025 ±10,822","90,083 ±8,807","01:17 (00:14)","Cold Tea Studio","NA"
"162","Demise of Nations","Aug 8, 2017","Free","41% (77%)","134,899 ±10,777","57,203 ±7,018","03:03 (00:16)","Noble Master LLC","Noble Master LLC"
"707","Bell Ringer","Mar 18, 2016","$6.99","N/A (N/A)","134,223 ±10,750","85,128 ±8,562","04:13 (03:53)","Night Node Software","Night Node Software"
"108","Defend The Highlands","Nov 6, 2015","$9.99","N/A (N/A)","133,548 ±10,723","63,508 ±7,395","03:29 (03:35)","Kilted Camel","KISS ltd"
"344","Warhammer 40,000: Regicide","Sep 8, 2015","$14.99","33% (73%/72%)","131,521 ±10,641","108,325 ±9,658","04:57 (02:28)","Hammerfall Publishing","Hammerfall Publishing"
"308","RONIN","Jun 30, 2015","$12.99","35% (74%/70%)","131,296 ±10,632","69,589 ±7,741","04:49 (02:18)","Tomasz Wacławek","Devolver Digital"
"346","The Solus Project","Jun 7, 2016","$19.99","49% (81%/68%)","131,296 ±10,632","103,370 ±9,434","05:11 (01:32)","Hourences, Grip Games","Teotl Studios"
"299","UBERMOSH","Aug 13, 2015","$0.99","77% (91%)","130,395 ±10,596","92,335 ±8,917","02:16 (01:30)","Walter Machado","Walter Machado"
"168","UnderRail","Dec 18, 2015","$14.99","65% (87%/72%)","126,566 ±10,439","70,039 ±7,766","24:12 (02:50)","Stygian Software","Stygian Software"
"160","Rising World","Dec 3, 2014","$14.99","45% (79%)","126,116 ±10,420","120,486 ±10,185","14:44 (04:16)","JIW-Games","KISS ltd"
"916","Brine","May 7, 2016","$3.99","N/A (N/A)","125,891 ±10,411","17,791 ±3,914","00:08 (00:04)","BrineTeam","BrineTeam"
"527","Burgers","Sep 3, 2015","$2.99","N/A (N/A)","125,440 ±10,392","91,434 ±8,873","05:08 (04:16)","storm_sharks","storm_sharks"
"201","Kindergarten","Jun 15, 2017","$4.99","92% (95%)","124,765 ±10,364","111,478 ±9,797","04:39 (02:43)","Con Man Games, SmashGames","SmashGames"
"457","Kinetic Void","Nov 21, 2014","$19.99","1% (23%)","123,413 ±10,308","107,874 ±9,638","03:42 (01:03)","Badland Studio","Badland Studio"
"150","Melody's Escape","May 20, 2016","$9.99","86% (93%)","123,188 ±10,299","115,081 ±9,954","05:54 (02:04)","Icetesy SPRL","Icetesy SPRL"
"90","Formicide","Jun 12, 2017","Free","43% (78%)","122,963 ±10,289","90,308 ±8,818","05:00 (00:12)","Rock Wall Games, LLC","Rock Wall Games, LLC"
"127","Orake 2D MMORPG","Jun 16, 2017","Free","28% (70%)","122,738 ±10,280","79,949 ±8,297","06:01 (00:06)","Candycane Games","Candycane Games"
"686","March of War: FaceOff - M","Jul 16, 2015","Free","N/A (N/A)","122,738 ±10,280","62,833 ±7,356","08:45 (00:31)","ISOTX","ISOTX"
"215","GameGuru","May 19, 2015","$17.49","35% (74%)","122,513 ±10,271","58,779 ±7,114","09:36 (01:01)","The Game Creators","The Game Creators"
"416","Cards and Castles","Dec 18, 2015","Free","27% (69%)","122,287 ±10,261","65,085 ±7,486","07:51 (01:08)","Red Team Games","Red Team Games"
"120","Survival Driver","Aug 15, 2017","$1.99","N/A (N/A)","120,936 ±10,204","109,676 ±9,718","03:27 (03:30)","Tero Lunkka, Mikko Seppälä","Tero Lunkka"
"1022","Ashes of the Singularity","Mar 31, 2016","$19.99","21% (64%/69%)","120,261 ±10,176","99,992 ±9,279","07:05 (02:36)","Oxide Games, Stardock Entertainment","Stardock Entertainment"
"142","Gremlins, Inc.","Mar 10, 2016","$14.99","65% (87%/75%)","119,810 ±10,157","108,550 ±9,668","17:42 (05:07)","Alexey Bokulev, Sergei Klimov, Charlie Oscar Lima Tango Interactive Entertainment","Yukitama Creative Industries"
"924","Ninja Pizza Girl","Sep 30, 2015","$6.99","65% (87%/82%)","119,585 ±10,147","24,548 ±4,598","02:31 (01:51)","Disparity Games","Disparity Games"
"413","FortressCraft Evolved!","Nov 9, 2015","$12.99","39% (76%)","119,360 ±10,138","104,046 ±9,465","26:22 (02:44)","ProjectorGames","Digital Tribe"
"36","Tree of Life","Aug 17, 2017","$19.99","30% (71%)","118,909 ±10,118","115,306 ±9,964","38:32 (10:13)","oddonegames","oddonegames, neobricks"
"146","Mad Games Tycoon","Sep 13, 2016","$14.99","74% (90%)","118,909 ±10,118","112,378 ±9,837","18:25 (10:25)","Eggcode","Eggcode"
"248","Kings under the hill","Feb 1, 2017","$0.99","N/A (N/A)","117,108 ±10,041","112,153 ±9,827","03:37 (03:30)","Ilya Gubin","Ilya Gubin"
"441","Interplanetary","May 12, 2015","Free","49% (81%)","116,207 ±10,003","85,353 ±8,573","05:11 (03:18)","Team Jolly Roger","Team17 Digital Ltd"
"97","Caveblazers","May 24, 2017","$9.99","71% (89%)","115,982 ±9,993","54,275 ±6,836","07:46 (03:14)","Rupeck Games","The Yogscast"
"276","Putrefaction","Aug 7, 2015","$0.99","26% (68%)","114,405 ±9,925","99,316 ±9,247","03:28 (03:30)","Kazakov Oleg","Kazakov Oleg"
"632","The Magic Circle","Jul 9, 2015","$19.99","77% (91%/79%)","113,054 ±9,866","46,393 ±6,320","03:49 (03:29)","Question","Question"
"421","Halcyon 6: Starbase Commander","Sep 8, 2016","Free","45% (79%/71%)","112,153 ±9,827","98,190 ±9,195","10:26 (04:44)","Massive Damage, Inc.","Massive Damage, Inc."
"925","Carmageddon: Reincarnation","May 21, 2015","Free","37% (75%/54%)","111,928 ±9,817","100,217 ±9,289","09:35 (02:53)","Stainless Games Ltd","Stainless Games Ltd"
"300","Game Corp DX","Oct 2, 2015","$0.98","65% (87%)","111,478 ±9,797","84,453 ±8,528","04:08 (02:57)","Endless Loop Studios","Endless Loop Studios"
"60","Naval Action","Jan 21, 2016","$39.99","23% (66%)","110,802 ±9,767","109,451 ±9,708","113:54 (18:13)","Game-Labs","Game-Labs"
"216","Kidnapped","Aug 4, 2015","$2.99","8% (49%)","110,802 ±9,767","84,002 ±8,505","03:21 (03:20)","Deceptive Games, Gavin Powell","Deceptive Games"
"396","Tactical Genius Online","Jan 20, 2017","Free","28% (70%)","110,351 ±9,748","40,537 ±5,908","00:45 (00:11)","Pixeltales.ru","Pixeltales.ru"
"1025","Wickland","Feb 6, 2015","$0.99","12% (55%)","110,351 ±9,748","63,058 ±7,369","02:32 (01:54)","Mad Ram Software","Mad Ram Software"
"454","Dungeons Of Kragmor","Apr 29, 2016","$0.99","4% (39%)","109,225 ±9,698","4,279 ±1,919","00:15 (00:07)","Digital Homicide Studios","Digital Homicide Studios"
"51","Life is Feudal: Forest Village","May 26, 2017","$24.99","23% (66%)","108,775 ±9,678","105,847 ±9,547","26:51 (10:04)","Mindillusion","Bitbox Ltd."
"427","Steredenn","Oct 1, 2015","$12.99","71% (89%)","108,775 ±9,678","45,041 ±6,228","03:37 (02:01)","Pixelnest Studio","Plug In Digital"
"62","Nash Racing","Aug 2, 2017","$3.99","N/A (N/A)","108,325 ±9,658","92,110 ±8,906","04:18 (04:31)","Tero Lunkka","Tero Lunkka"
"202","Action Henk","May 11, 2015","$14.99","74% (90%/74%)","107,874 ±9,638","52,924 ±6,751","03:05 (01:44)","RageSquid","RageSquid"
"720","Down To One","Jan 7, 2016","$0.99","3% (37%)","106,298 ±9,567","79,048 ±8,250","01:34 (00:41)","Gadget Games","Gadget Games"
"723","Savage Resurrection","Aug 18, 2016","Free","14% (57%)","105,172 ±9,516","78,822 ±8,238","11:17 (02:45)","S2 Games, LLC","S2 Games, LLC"
"339","Strongmind","Nov 4, 2016","$1.99","N/A (N/A)","104,721 ±9,496","93,461 ±8,971","03:14 (03:29)","Elusive Team","Elusive Team"
"264","Monstrum","May 20, 2015","$17.99","77% (91%)","104,046 ±9,465","61,707 ±7,289","04:44 (01:35)","Team Junkfish","Team Junkfish"
"116","BATTLECREW Space Pirates","Jul 10, 2017","Free","11% (53%)","103,145 ±9,424","50,446 ±6,591","07:44 (00:11)","DONTNOD ELEVEN","DONTNOD ELEVEN"
"289","Bedlam","Oct 13, 2015","$12.99","26% (68%/54%)","102,920 ±9,414","44,141 ±6,165","03:25 (02:55)","RedBedlam","KISS ltd"
"497","The Masterplan","Jun 4, 2015","$19.99","21% (64%/68%)","102,920 ±9,414","53,149 ±6,765","03:25 (01:52)","Shark Punch","Shark Punch"
"928","Regimental Chess","Apr 29, 2015","Free","7% (47%)","102,920 ±9,414","31,754 ±5,229","00:11 (00:05)","Thomas Bacon","Regimental Chess Inc."
"1024","Knight Squad","Nov 16, 2015","$14.99","68% (88%)","102,920 ±9,414","38,961 ±5,792","02:56 (02:16)","Chainsawesome Games","Chainsawesome Games"
"170","The Curious Expedition","Sep 2, 2016","$14.99","71% (89%/74%)","102,694 ±9,403","80,624 ±8,332","10:44 (04:25)","Maschinen-Mensch","Maschinen-Mensch"
"65","Battle Brothers","Mar 24, 2017","$29.99","62% (86%/80%)","101,118 ±9,331","97,289 ±9,153","70:47 (24:28)","Overhype Studios","Overhype Studios"
"400","The Adventures of Tree","Mar 1, 2016","$4.99","N/A (N/A)","100,668 ±9,310","76,796 ±8,132","06:28 (05:51)","NinjaISV, TigerNDV","OfficialTigerStudios"
"432","Death Penalty: Beginning","Jan 23, 2017","$1.99","N/A (N/A)","100,668 ±9,310","9,909 ±2,921","00:11 (00:04)","VI GAMES LLC, Ivan Buderkrvych","VI GAMES LLC"
"240","Assault Android Cactus","Sep 23, 2015","$14.99","95% (96%/79%)","99,767 ±9,268","65,986 ±7,538","08:11 (02:24)","Witch Beam","Witch Beam"
"94","Ballistic Overkill","Mar 28, 2017","$11.99","43% (78%)","98,641 ±9,216","95,488 ±9,067","19:37 (04:19)","Aquiris Game Studio","Aquiris Game Studio"
"151","Tempest: Pirate Action RPG","Aug 22, 2016","$14.99","32% (72%)","98,641 ±9,216","72,742 ±7,914","07:06 (02:07)","Lion's Shade","HeroCraft"
"328","Ratz Instagib","Jul 27, 2016","$8.99","65% (87%)","97,064 ±9,142","69,589 ±7,741","07:41 (02:14)","Lino Slahuschek","Rising Star Games"
"218","The Wild Eight","Feb 8, 2017","$19.99","37% (75%)","96,839 ±9,131","93,686 ±8,982","08:31 (04:41)","HypeTrain Digital","HypeTrain Digital"
"257","Gunnheim","Oct 16, 2015","$9.99","4% (40%)","95,713 ±9,078","48,194 ±6,442","02:55 (02:33)","SIEIDI Ltd","Meridian4"
"533","Dreaming Sarah","Mar 12, 2015","$5.99","82% (92%)","93,461 ±8,971","56,977 ±7,004","02:25 (02:05)","Andre Chagas Silva, Anthony Septim","Asteristic Game Studio"
"159","Deceit","Mar 3, 2017","$9.99","17% (61%)","93,011 ±8,949","81,750 ±8,390","08:54 (03:14)","Automaton","Automaton"
"167","Darkwood","Aug 17, 2017","$14.99","92% (95%/81%)","93,011 ±8,949","85,804 ±8,595","07:01 (02:08)","Acid Wizard Studio","Acid Wizard Studio"
"29","Ultimate General: Civil War","Jul 14, 2017","$29.99","65% (87%)","91,209 ±8,862","87,831 ±8,696","54:45 (14:36)","Game-Labs","Game-Labs"
"266","Marooners","Sep 15, 2016","$12.99","33% (73%/70%)","90,984 ±8,851","25,223 ±4,660","01:47 (01:13)","M2H","M2H"
"322","Cosmonautica","Jul 31, 2015","$9.99","11% (53%)","90,533 ±8,829","56,977 ±7,004","07:51 (04:09)","Chasing Carrots","Chasing Carrots"
"191","AX:EL - Air XenoDawn","Dec 4, 2015","$12.99","N/A (N/A)","89,632 ±8,785","67,787 ±7,640","03:01 (03:07)","Alex Piola","KISS ltd"
"461","Dream","Jul 31, 2015","$8.99","16% (60%/59%)","88,732 ±8,741","63,058 ±7,369","02:56 (01:15)","HyperSloth","Mastertronic"
"878","Nebula Online","Nov 3, 2016","$4.99","4% (39%)","88,056 ±8,708","49,771 ±6,547","04:38 (05:37)","Mizar Games, Komar Games","KISS ltd"
"263","Fragmented","Aug 15, 2017","$9.99","8% (49%)","87,380 ±8,674","56,077 ±6,949","06:44 (01:17)","Above and Beyond Technologies","Above and Beyond Technologies"
"469","Face It - A game to fight inner demons","Jun 9, 2017","$3.99","19% (62%)","87,155 ±8,663","57,428 ±7,032","04:05 (03:40)","Tlön Studios, Ilex Games","Gamestorming"
"447","Rogue Stormers","Apr 21, 2016","$19.99","26% (68%/68%)","86,705 ±8,640","66,661 ±7,576","05:10 (01:41)","Black Forest Games","Black Forest Games, THQ Nordic"
"179","Envy the Dead","Sep 12, 2016","$0.99","26% (68%)","86,029 ±8,607","78,372 ±8,215","03:27 (03:30)","Kazakov Oleg","Kazakov Oleg"
"318","The Age of Decadence","Oct 14, 2015","$29.99","49% (81%/81%)","85,353 ±8,573","70,039 ±7,766","15:31 (04:37)","Iron Tower Studio","Iron Tower Studio"
"1031","Ultimate Arena","Aug 22, 2016","$2.99","59% (85%)","84,453 ±8,528","74,769 ±8,024","03:32 (03:22)","Triverske","Triverske"
"137","Alpha Runner","Sep 2, 2015","$0.49","71% (89%)","83,777 ±8,493","56,077 ±6,949","03:15 (03:03)","LightsoutGames","Lightsoutgames"
"559","Landmark","Jun 10, 2016","$9.99","3% (34%)","82,651 ±8,436","79,723 ±8,285","17:44 (06:05)","Daybreak Game Company","Daybreak Game Company"
"131","20XX","Aug 16, 2017","$14.99","89% (94%)","82,426 ±8,425","74,318 ±8,000","12:07 (03:35)","Batterystaple Games, Fire Hose Games","Batterystaple Games"
"175","Euro Fishing","Nov 2, 2015","$9.99","17% (61%)","82,426 ±8,425","69,589 ±7,741","14:09 (02:58)","Dovetail Games","Dovetail Games - Fishing"
"56","The Agony","Jun 14, 2017","$0.99","16% (60%)","82,201 ±8,413","65,535 ±7,512","03:26 (03:30)","KishMish Games","KishMish Games"
"253","Chaos Reborn","Oct 26, 2015","$9.99","39% (76%/85%)","81,975 ±8,402","60,581 ±7,223","07:02 (02:43)","Snapshot Games Inc.","Snapshot Games Inc."
"316","Over 9000 Zombies!","Feb 25, 2015","$1.99","57% (84%)","81,750 ±8,390","56,752 ±6,991","02:37 (01:23)","Loren Lemcke","Loren Lemcke"
"372","In Verbis Virtus","Apr 3, 2015","$19.99","49% (81%)","80,399 ±8,320","59,905 ±7,182","04:35 (02:37)","Indomitus Games","Indomitus Games"
"311","The Big Elk","May 24, 2016","$4.99","33% (73%)","80,174 ±8,309","66,661 ±7,576","03:48 (03:30)","Anatoliy Loginovskikh","Anatoliy Loginovskikh"
"78","Heroes Tactics","Jun 21, 2017","Free","15% (58%)","79,949 ±8,297","62,382 ±7,329","11:46 (00:32)","Camex Games","Camex Games"
"321","Poi","Feb 1, 2017","$14.99","92% (95%)","79,498 ±8,274","26,124 ±4,743","03:42 (02:06)","PolyKid","PolyKid"
"426","Take On Mars","Feb 9, 2017","$26.99","17% (61%/62%)","79,048 ±8,250","72,517 ±7,902","18:36 (04:03)","Bohemia Interactive","Bohemia Interactive"
"213","StarDrive 2","Apr 9, 2015","$29.99","15% (58%/70%)","78,597 ±8,227","66,211 ±7,551","32:34 (15:36)","Zero Sum Games","Iceberg Interactive"
"267","Ropes And Dragons VR","Apr 21, 2017","$0.99","N/A (N/A)","78,372 ±8,215","72,517 ±7,902","03:35 (03:30)","nobodyshot","nobodyshot"
"237","Blueprint Tycoon","May 13, 2016","$1.79","49% (81%)","77,696 ±8,179","68,013 ±7,653","03:24 (01:01)","Endless Loop Studios","Endless Loop Studios"
"184","Breach & Clear: Deadline Rebirth (2016)","Jul 20, 2015","$9.99","10% (52%)","75,219 ±8,048","47,744 ±6,412","04:59 (01:41)","Mighty Rabbit Studios, Gun Media","Good Shepherd Entertainment, Devolver Digital"
"244","Dead Effect 2","May 6, 2016","$3.59","28% (70%/53%)","74,544 ±8,012","48,420 ±6,457","07:37 (03:07)","BadFly Interactive, a.s.","BadFly Interactive, a.s."
"255","SHENZHEN I/O","Nov 17, 2016","$14.99","95% (96%)","74,318 ±8,000","63,508 ±7,395","12:00 (05:35)","Zachtronics","Zachtronics"
"965","Woolfe - The Red Hood Diaries","Mar 17, 2015","$9.99","16% (60%/55%)","74,093 ±7,987","47,744 ±6,412","02:32 (01:23)","GRIN","Rebellion"
"648","Toy Soldiers: Complete","Feb 17, 2016","$14.99","37% (75%)","73,868 ±7,975","63,508 ±7,395","06:25 (04:48)","Signal Studios, Krome Studios","Signal Studios"
"41","Blaite","Jan 2, 2017","$2.99","33% (73%)","72,967 ±7,927","56,977 ±7,004","03:32 (03:04)","Dosane Games","Glossware Games"
"254","PixelJunk Nom Nom Galaxy","Aug 3, 2015","$9.99","33% (73%/68%)","72,742 ±7,914","53,599 ±6,794","10:58 (04:16)","Q-Games Ltd.","Q-Games Ltd."
"171","Block'hood","May 10, 2017","$14.99","39% (76%/77%)","72,517 ±7,902","65,310 ±7,499","03:20 (01:41)","Plethora-Project LLC","Devolver Digital"
"462","Kingdom Wars 2: Battles","Mar 4, 2016","$13.99","21% (64%)","72,517 ±7,902","61,482 ±7,276","07:43 (02:49)","Reverie World Studios",""
"208","Battle of Empires : 1914-1918","Jul 22, 2015","$8.99","21% (64%)","71,616 ±7,853","67,787 ±7,640","15:52 (05:45)","Great War Team","Best Way Soft"
"292","Dex","May 7, 2015","$19.99","59% (85%/62%)","71,616 ±7,853","49,320 ±6,517","05:00 (02:50)","Dreadlocks Ltd.","Dreadlocks Ltd., Badland Games, Techland"
"277","Kopanito All-Stars Soccer","Nov 16, 2016","$3.59","51% (82%)","70,039 ±7,766","61,707 ±7,289","04:04 (01:28)","Merixgames","Merixgames"
"313","The Last Error","Nov 1, 2016","$1.99","N/A (N/A)","69,814 ±7,753","61,707 ±7,289","03:39 (03:30)","Anatoliy Loginovskikh","Anatoliy Loginovskikh"
"564","Burstfire","Sep 24, 2015","Free","5% (42%)","67,562 ±7,627","49,320 ±6,517","04:22 (05:17)","Nacho Games","Nacho Games"
"377","Coffin Dodgers","Jul 8, 2015","$10.99","33% (73%)","67,112 ±7,602","46,843 ±6,351","03:23 (02:22)","Milky Tea Studios","Milky Tea Studios"
"293","Hegemony Rome: The Rise of Caesar","May 15, 2014","$3.99","16% (60%)","66,211 ±7,551","47,519 ±6,397","11:59 (02:16)","Longbow Games","Kasedo Games"
"507","Legends of Callasia","Jun 10, 2016","Free","47% (80%)","65,535 ±7,512","21,845 ±4,337","05:36 (00:53)","Boomzap Entertainment","Boomzap Entertainment"
"420","The Bug Butcher","Jan 19, 2016","$7.99","71% (89%/81%)","65,310 ±7,499","45,492 ±6,259","02:47 (01:46)","Awfully Nice Studios","Awfully Nice Studios"
"637","Pyramid Raid","Dec 15, 2015","$2.99","N/A (N/A)","64,634 ±7,460","43,690 ±6,134","00:46 (00:10)","Travian Games GmbH","Travian Games GmbH"
"133","Blitzkrieg 3","Jun 2, 2017","$20.99","9% (50%/68%)","63,959 ±7,421","58,779 ±7,114","20:51 (07:09)","Nival","Nival"
"32","Niche - a genetics survival game","Sep 21, 2017","$17.99","77% (91%)","61,707 ±7,289","57,878 ±7,060","17:28 (03:52)","Stray Fawn Studio","Stray Fawn Studio"
"406","BiT Evolution","Jun 9, 2015","$9.99","N/A (N/A)","61,707 ±7,289","22,070 ±4,359","02:41 (02:05)","Major Games","Major Games"
"365","The Ship: Remasted","Oct 31, 2016","$19.99","16% (60%)","61,031 ±7,249","38,961 ±5,792","01:56 (01:02)","Blazing Griffin","Blazing Griffin"
"847","Doorways: Holy Mountains of Flesh","Aug 10, 2016","$19.99","62% (86%)","60,355 ±7,209","39,862 ±5,859","03:49 (03:19)","Saibot Studios","Saibot Studios"
"352","Zombie Playground","Oct 31, 2016","$9.99","11% (53%)","59,229 ±7,142","18,917 ±4,036","00:49 (00:16)","Stealth Studios Inc.","Stealth Studios Inc."
"404","Reflex Arena","Mar 8, 2017","$9.99","65% (87%)","59,004 ±7,128","54,050 ±6,822","11:26 (01:49)","Turbo Pixel Studios","Turbo Pixel Studios"
"194","Starpoint Gemini Warlords","May 23, 2017","$34.99","45% (79%/74%)","58,329 ±7,087","51,798 ±6,678","22:55 (05:48)","Little Green Men Games","Iceberg Interactive"
"246","Sunrider Academy","Apr 15, 2015","$9.99","62% (86%)","58,329 ±7,087","42,789 ±6,070","15:27 (05:27)","Love in Space","Sekai Project"
"635","Flying Tigers: Shadows Over China","May 29, 2017","$16.99","30% (71%)","56,977 ±7,004","31,754 ±5,229","04:22 (03:08)","ACE MADDOX","ACE MADDOX"
"768","Albedo: Eyes from Outer Space","Apr 10, 2015","$14.99","9% (50%/66%)","56,527 ±6,977","25,899 ±4,722","02:51 (01:35)","Z4G0 and Ivan Venturi Productions","Merge Games"
"193","TY the Tasmanian Tiger","Dec 12, 2016","$14.99","99% (98%)","56,077 ±6,949","49,095 ±6,502","06:47 (04:44)","Krome Studios","Krome Studios"
"480","Wrack","Sep 30, 2014","$9.99","33% (73%)","56,077 ±6,949","37,610 ±5,691","02:20 (01:17)","Final Boss Entertainment","Final Boss Entertainment"
"154","Weapon Shop Fantasy","Mar 27, 2017","$6.99","51% (82%)","55,626 ±6,921","51,798 ±6,678","17:02 (08:42)","Digdog Studio","INDIECN"
"460","Star Ruler 2","Mar 27, 2015","$24.99","45% (79%)","55,401 ±6,907","42,339 ±6,038","15:49 (04:40)","Blind Mind Studios, Glacicle","Blind Mind Studios"
"282","Duskers","May 18, 2016","$19.99","68% (88%/83%)","54,951 ±6,879","48,194 ±6,442","09:49 (03:59)","Misfits Attic","Misfits Attic"
"1026","The Deer God","Feb 27, 2015","$14.99","15% (59%/59%)","54,725 ±6,865","43,240 ±6,102","04:39 (04:48)","Crescent Moon Games, Cinopt Studios","Crescent Moon Games"
"408","House of the Dying Sun","Nov 1, 2016","$19.99","71% (89%/76%)","53,599 ±6,794","42,339 ±6,038","02:10 (00:53)","Marauder Interactive, LLC","Marauder Interactive, LLC"
"252","Crea","Jun 9, 2016","$14.99","43% (78%)","53,149 ±6,765","49,771 ±6,547","15:30 (06:32)","Siege Games","Siege Games"
"551","Hover Junkers","Apr 5, 2016","$34.99","30% (71%/80%)","52,924 ±6,751","49,320 ±6,517","02:50 (01:13)","Stress Level Zero","Stress Level Zero"
"124","Fruit Ninja VR","Dec 15, 2016","$14.99","82% (92%)","51,798 ±6,678","49,095 ±6,502","08:38 (01:53)","Halfbrick Studios Pty Ltd","Halfbrick Studios Pty Ltd"
"158","BomberZone","Jun 10, 2016","$1.99","N/A (N/A)","51,122 ±6,635","46,843 ±6,351","04:44 (04:31)","Dracula Bytes","exosyphen studios"
"214","Rock 'N' Roll Defense","Aug 10, 2016","$0.49","35% (74%)","51,122 ±6,635","29,277 ±5,021","04:34 (04:13)","NukGames","NukGames"
"1016","Versus: Battle of the Gladiator","Aug 26, 2016","Free","17% (61%)","50,221 ±6,576","32,880 ±5,321","01:49 (00:21)","Netker Inc.","Netker Inc."
"141","Guardians of Ember","Sep 20, 2017","$9.99","16% (60%)","49,320 ±6,517","41,438 ±5,973","18:48 (06:33)","Runewaker","Insel Games Ltd."
"285","The Political Machine 2016","Feb 4, 2016","$9.99","41% (77%)","49,320 ±6,517","43,915 ±6,149","04:43 (02:26)","Stardock Entertainment","Stardock Entertainment"
